file,variable,description
address,address_1,First line of the postal address of the business.
address,address_2,First line of the postal address of the business.
address,address_3,First line of the postal address of the business.
address,address_4,First line of the postal address of the business.
location,bng_east,British National Grid easting.
location,bng_north,British National Grid northing.
business_name,business_name,The name of the business.
business_type,business_type,The business's type.
business_type,business_type_id,A standard ID for the business type. 
,BusinessID,Common reference for linking entities together. Called ID on the business entity and BusinessID elsewhere.
ons_la,CTRY16CD,Country code (2016)
ons_la,CTRY16NM,Country name (2016)
,date_created,Date entity value first appears for this business.
,date_rating,The date attached to this rating.
,date_updated,Date entity value most recently appears for this business.
,fhrs_business_id,Rating scheme's ID for this business.
ons_la,FHRS_ID,Rating scheme's ID for this business.
ons_la,FID,Internal reference for the local authority geographical data - not used elsewhere. 
,fsa_la_id,Food Standard Agency's ID for this local authority.
,ID,Common reference for linking entities together. Called ID on the business entity and BusinessID elsewhere.
,la_business_id,Local authority's ID for the business.
la,la_email,Local authority's email address for food ratings.
business,la_id_business_id,Local authority's alternative ID for the business.
la,la_name,Local authority name (2014).
la,la_website,Local authority website.
ons_la,LAD16CD,Local authority (2016) code.
ons_la,LAD16NM,Local authority (2016) name.
location,latitude,WGS84 latitude.
location,longitude,WGS84 longitude.
rating,new_rating_pending,Flag to indicate an updated rating is due to appear soon.
la,ons_la_id,Local authority (2014) name.
address,postcode,Postcode of the business address.
rating,rating_key,Standardised value for the rating.
rating,rating_value,Text of the rating.
rating,right_to_reply,Post-inspection reply information from the business.
rating,scheme_type,FHIS or FHRS
rating,score_hygiene,"Score from 0-30 for food hygiene and food safety – how food is stored, prepared, handled, cooked; controls to prevent contamination."
rating,score_management,"Score from 0-30 for confidence in management - how the business is managed to ensure safe food, staff training, systems and documentation and the level of confidence that standards will be maintained or improved."
rating,score_structural,"Score from 0-30 for structure - the physical condition of the business including cleaning, equipment and facilities, pest control, layout."
location,utm_zone,UTM Zone
location,utm29_east,Alternative location information. 
location,utm29_north,Alternative location information. 
location,utm30_east,Alternative location information. 
location,utm30_north,Alternative location information. 
location,utm31_east,Alternative location information. 
location,utm31_north,Alternative location information. 
